,run_id,runner_id,game_id,category_id,level_id,run_time,timestamp,system_id,url,run_views
13786,y90vo2ry,814vkvr8,o1y9wo6q,n2y55mko,,1286.0,2020-06-04,w89rwelk,https://youtu.be/aBah3OEjuHY,8
13787,zx2792km,qjnvrz18,o1y9wo6q,n2y55mko,,1462.0,2020-06-04,w89rwelk,https://www.twitch.tv/videos/641480657?filter=highlights&sort=time,
13788,znkpw19z,pj0oe34j,o1y9wo6q,n2y55mko,,1557.0,2020-06-04,w89rwelk,https://youtu.be/Nl3Cw6pGKVY,
13789,mrk7j74y,814vq458,o1y9wo6q,n2y55mko,,2088.0,2020-06-04,w89rwelk,https://www.youtube.com/watch?v=wrEwlw0NUqk,7
13790,y4wq9gkm,814v5gl8,o1y9wo6q,n2y55mko,,1479.0,2020-06-05,w89rwelk,https://youtu.be/JHyl52F2aFc,19
13791,z05pwx8m,v8lkd7lx,o1y9wo6q,7kjpp4k3,,1136.0,2020-06-04,w89rwelk,https://www.twitch.tv/videos/641579521,
13792,y8283kny,jprz0l58,o1y9wo6q,n2y55mko,,1311.0,2020-06-04,w89rwelk,https://www.twitch.tv/videos/641640190,
13793,y25p9k6y,v8lkd7lx,o1y9wo6q,7kjpp4k3,,1129.0,2020-06-04,w89rwelk,https://www.twitch.tv/videos/641639679,
13794,mk3kl1vz,qjndwg18,o1y9wo6q,n2y55mko,,2203.0,2020-06-04,w89rwelk,https://youtu.be/MzIVcYa4vL0,3
13795,y8283n1y,v8lkd7lx,o1y9wo6q,7kjpp4k3,,1119.0,2020-06-04,w89rwelk,https://www.twitch.tv/videos/641685052,
13796,zpr9qnxm,qjn61o2x,o1y9wo6q,n2y55mko,,1455.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/641746414,
13797,y90v77ey,qjndwg18,o1y9wo6q,n2y55mko,,2048.0,2020-06-05,w89rwelk,https://youtu.be/besCjQ4FNRs,8
13798,m7g6989m,j0ng6dr8,o1y9wo6q,7dgrrxk4,,6089.0,2020-06-05,w89rwelk,https://www.twitch.tv/videos/641794152,
13799,yokp471z,1xyvp9yx,o1y9wo6q,n2y55mko,,1715.0,2020-06-05,w89rwelk,https://www.youtube.com/watch?v=jtmvPSAEjmA,219
